"ARI","NMI","FM-Index","FMeasure","Method"
0.432486184931269,0.464161690051241,0.555467545375249,0.635455136850922,"Pearson"
0.382198855788205,0.442779681177868,0.505666475415071,0.604462071044951,"Cosine"
0.254812365292624,0.416202369596291,0.42019833351107,0.537726949196504,"Spearman"
0.0748616609013208,0.151770367253158,0.478222119998463,0.557199849138014,"Euclidean"
0.466026283153236,0.478428154610819,0.577856127926946,0.667984635336282,"Pearson + Cosine"
0.45889992183506,0.479584743765079,0.57371449278817,0.652498984058153,"Pearson + Spearman"
0.456206428595681,0.476544863563011,0.572060717678465,0.651740710883371,"Pearson + Euclidean"
0.333625467270559,0.380323571469265,0.518336599692066,0.63377603333349,"Spearson + Euclidean"
0.287276096822617,0.359674958550168,0.518871648885966,0.636207925413435,"Cosine + Euclidean"
0.466092661745229,0.478471338250536,0.57637595357096,0.649690415409011,"Pearson + Spearman + Cosine"
0.39930521629667,0.447135406328687,0.541232236546727,0.626990909241724,"Pearson + Spearman + Euclidean"
0.391271966846311,0.438181344502973,0.537325127946014,0.626013028652449,"Spearman + Cosine + Euclidean"
0.391271966846311,0.438181344502973,0.537325127946014,0.626013028652449,"Spearman + Cosine + Euclidean"
0.391271966846311,0.438181344502973,0.537325127946014,0.626013028652449,"Pearson + Cosine + Euclidean"
0.43950528210053,0.473738451206706,0.562115102908363,0.645393898489111,"All"
0.605541206962295,0.5600038032571,0.649415940311077,0.695515337529414,"Pearson"
0.419328261350529,0.498452167084598,0.483484449181662,0.598213105904233,"Cosine"
0.42802739314606,0.438921260468581,0.491215990515681,0.543201098838547,"Spearman"
0.161833638416483,0.377249742216342,0.320240364115822,0.430501577684571,"Euclidean"
0.586129327411189,0.55958564864463,0.632722155418035,0.696389302353439,"Pearson + Cosine"
0.601600101293625,0.558431797499683,0.646317481739604,0.69544863434926,"Pearson + Spearman"
0.530082220231814,0.514246661385221,0.581814142113397,0.620141059189715,"Pearson + Euclidean"
0.412425077567659,0.455229774308398,0.475517063798311,0.547347955755688,"Spearson + Euclidean"
0.46736553946584,0.503207213852665,0.525604285126447,0.595860850615596,"Cosine + Euclidean"
0.600816888725678,0.555638753824229,0.645361676737304,0.696711208000727,"Pearson + Spearman + Cosine"
0.580105156981908,0.54387719254236,0.626671302631241,0.677068825260389,"Pearson + Spearman + Euclidean"
0.503153415609951,0.521855291001543,0.557620761396333,0.632868117952064,"Spearman + Cosine + Euclidean"
0.503153415609951,0.521855291001543,0.557620761396333,0.632868117952064,"Spearman + Cosine + Euclidean"
0.503153415609951,0.521855291001543,0.557620761396333,0.632868117952064,"Pearson + Cosine + Euclidean"
0.510906256025705,0.519432210546785,0.564614969470195,0.62785274478523,"All"
0.650998512295636,0.561111758212559,0.704280916978026,0.660736636183755,"Pearson"
0.626395031265976,0.543850363528756,0.681907767811436,0.625954185714324,"Cosine"
0.382372829817257,0.481069247418267,0.479674407807671,0.522417036036781,"Spearman"
0.552503049290925,0.526538852052905,0.622819452448831,0.632867933855986,"Euclidean"
0.650998512295636,0.561111758212559,0.704280916978026,0.660736636183755,"Pearson + Cosine"
0.590181217650406,0.529226037554873,0.649336700935225,0.61915024850025,"Pearson + Spearman"
0.58915117772778,0.526097800261999,0.648437469625039,0.601302517696948,"Pearson + Euclidean"
0.494496909936878,0.506776579510507,0.565949084605299,0.588189243326838,"Spearson + Euclidean"
0.629261838253847,0.558120186424821,0.685020321145459,0.660072332640954,"Cosine + Euclidean"
0.641201792940792,0.549407216412589,0.693635531812741,0.640561142456194,"Pearson + Spearman + Cosine"
0.605409632189638,0.551958572330665,0.664447515894781,0.654113592711086,"Pearson + Spearman + Euclidean"
0.636046183320796,0.567241070281742,0.691136897897685,0.660079462594458,"Spearman + Cosine + Euclidean"
0.636046183320796,0.567241070281742,0.691136897897685,0.660079462594458,"Spearman + Cosine + Euclidean"
0.636046183320796,0.567241070281742,0.691136897897685,0.660079462594458,"Pearson + Cosine + Euclidean"
0.656780302469276,0.570456413000242,0.709417020058866,0.67193162305452,"All"
0.268789983693088,0.339235934735615,0.534081781853927,0.621502619590936,"Pearson"
0.275941651931868,0.373818492985301,0.536930344528212,0.557917246254671,"Cosine"
0.568564176378173,0.508554988071632,0.707035354117258,0.737500726414814,"Spearman"
0.0884367078222005,0.09235854248486,0.590565931858938,0.681995424474569,"Euclidean"
0.298704850857103,0.297221894590468,0.658478008097095,0.724139249567529,"Pearson + Cosine"
0.354605269885802,0.403409369750494,0.576581695491371,0.692061233245231,"Pearson + Spearman"
0.422807282622397,0.3849368656139,0.696744520601985,0.728650610738389,"Pearson + Euclidean"
0.572462645914373,0.499367623840214,0.714190311780173,0.753212413782008,"Spearson + Euclidean"
0.256337345541845,0.34672517194457,0.510556303029482,0.600221759345492,"Cosine + Euclidean"
0.412712578814465,0.420522757730352,0.614502641491244,0.722314628746391,"Pearson + Spearman + Cosine"
0.354605269885802,0.403409369750494,0.576581695491371,0.692061233245231,"Pearson + Spearman + Euclidean"
0.422807282622397,0.3849368656139,0.696744520601985,0.728650610738389,"Spearman + Cosine + Euclidean"
0.422807282622397,0.3849368656139,0.696744520601985,0.728650610738389,"Spearman + Cosine + Euclidean"
0.422807282622397,0.3849368656139,0.696744520601985,0.728650610738389,"Pearson + Cosine + Euclidean"
0.398617290343357,0.412719462407911,0.608751034357645,0.723790361387666,"All"
0.459937400239378,0.400127211874075,0.658545217695956,0.635659847017391,"Pearson"
0.403453573861653,0.376550277955583,0.621160085108231,0.607768372505735,"Cosine"
