"","ARI","NMI","FM-Index","FMeasure","Metric","Dataset"
"1",0.241811995612886,0.37238667019531,0.369066786211262,0.451982449681171,"pearson","Maldegem et al"
"2",0.227146477416411,0.373808267252347,0.356123913062037,0.452768996591355,"pearson","Maldegem et al"
"3",0.242156273467531,0.380994335134525,0.370665072147187,0.478965539156369,"pearson","Maldegem et al"
"4",0.277375018706732,0.406237757458751,0.401562997871782,0.503061014637122,"pearson","Maldegem et al"
"5",0.259115737508429,0.384060491348893,0.386541657635804,0.473781513932155,"pearson","Maldegem et al"
"6",0.235640229342344,0.368450032038428,0.371344103942169,0.460371449339558,"euclidean","Maldegem et al"
"7",0.220510589911033,0.344931479167882,0.359145194052025,0.418361773037278,"euclidean","Maldegem et al"
"8",0.200320515552899,0.356783627160294,0.345338121205237,0.432307248583435,"euclidean","Maldegem et al"
"9",0.25795093666128,0.388732747560276,0.392228950737221,0.480036301663796,"euclidean","Maldegem et al"
"10",0.240941311160589,0.373390445033851,0.379855957522314,0.468053861486782,"euclidean","Maldegem et al"
"11",0.341679271485252,0.420819667849678,0.412913961603435,0.457653766423145,"pearson","Rendeiro et al"
"12",0.32139463358296,0.404981631257206,0.394125948228573,0.436917124012564,"pearson","Rendeiro et al"
"13",0.335432719309257,0.409832941189776,0.40750856074612,0.4524710462784,"pearson","Rendeiro et al"
"14",0.345774249572555,0.418327258358009,0.416865904814411,0.461673706023535,"pearson","Rendeiro et al"
"15",0.358518364086572,0.435799471528075,0.427643850999695,0.490650718511521,"pearson","Rendeiro et al"
"16",0.302759940906669,0.402334532306356,0.375069172302748,0.431364155356831,"euclidean","Rendeiro et al"
"17",0.318912181569095,0.420847068530566,0.389269808413177,0.468135683342111,"euclidean","Rendeiro et al"
"18",0.299202680542135,0.405684971198756,0.370961924972914,0.434624598261491,"euclidean","Rendeiro et al"
"19",0.303524848337307,0.414885504564737,0.37495663881824,0.436907395041268,"euclidean","Rendeiro et al"
"20",0.294330493111767,0.393352773910224,0.366089880880337,0.425595602501567,"euclidean","Rendeiro et al"
"21",0.368386440990367,0.455834992202607,0.468070611526911,0.466346721772772,"pearson","Risom et al"
"22",0.343708291441376,0.474892366128633,0.443970851133207,0.474130088228475,"pearson","Risom et al"
"23",0.293417568352301,0.447380184304199,0.399588996115908,0.434585104580194,"pearson","Risom et al"
"24",0.321716265760202,0.454693425414704,0.426070794150416,0.460925371292763,"pearson","Risom et al"
"25",0.365909413109141,0.47513763986734,0.463357203668534,0.495386433583925,"pearson","Risom et al"
"26",0.297117416709872,0.434406431412664,0.400921866570999,0.428676054059871,"euclidean","Risom et al"
"27",0.277998492721174,0.426685719421502,0.382349841294793,0.400301007611919,"euclidean","Risom et al"
"28",0.249842630872039,0.413767411989141,0.354428327755281,0.380535435328666,"euclidean","Risom et al"
"29",0.315801262595639,0.452563259128024,0.417423544161021,0.452069573158571,"euclidean","Risom et al"
"30",0.275652905636471,0.440693802890922,0.381025151967674,0.424376831286444,"euclidean","Risom et al"
"31",0.172423571188541,0.311846861220147,0.349704980885147,0.368707693943199,"pearson","Damond et al"
"32",0.180788427718992,0.309767528238576,0.359589859646006,0.381820189712415,"pearson","Damond et al"
"33",0.176341290114683,0.300749389803101,0.357939524617661,0.385317332392948,"pearson","Damond et al"
"34",0.195237826343165,0.311451277514121,0.376762906371231,0.37205286958027,"pearson","Damond et al"
"35",0.181696821196656,0.308377746631789,0.360865678497582,0.380327519385162,"pearson","Damond et al"
"36",0.142181287955866,0.269325804885299,0.320418143013883,0.31959393094231,"euclidean","Damond et al"
"37",0.119680345510965,0.271583019399031,0.304513621816278,0.336006033407032,"euclidean","Damond et al"
"38",0.120930018202879,0.263820909182135,0.30590597984021,0.343311457995401,"euclidean","Damond et al"
"39",0.117294035886105,0.260385455007476,0.29596101573037,0.310683517280353,"euclidean","Damond et al"
"40",0.11772478417964,0.258253737958833,0.300159746088571,0.327351965591263,"euclidean","Damond et al"
"41",0.0668542079580426,0.122661881235944,0.295731793744485,0.271510117446565,"pearson","Hoch et al"
"42",0.0592269844208614,0.128934411872555,0.293715886483066,0.277840666739101,"pearson","Hoch et al"
"43",0.0848110342838478,0.1272695331463,0.313548502317565,0.277868321455343,"pearson","Hoch et al"
"44",0.0673790515583022,0.119345599258661,0.299282098421495,0.276444290441342,"pearson","Hoch et al"
"45",0.0919858413349968,0.135476799209397,0.333686887362566,0.310674082719141,"pearson","Hoch et al"
"46",0.0460744288944433,0.0600764498890618,0.303831372158823,0.288222123288113,"euclidean","Hoch et al"
"47",0.0704412259334091,0.06888656919286,0.316040290372055,0.285333015289609,"euclidean","Hoch et al"
"48",0.0617981024989142,0.0768943290727624,0.310444759527671,0.28799815037538,"euclidean","Hoch et al"
"49",0.093328164447086,0.0858157771574223,0.337050151141175,0.301079532358791,"euclidean","Hoch et al"
"50",0.0757809047222055,0.0772073238406259,0.319816964457415,0.285415742818074,"euclidean","Hoch et al"
"51",0.233667079987008,0.340430368820285,0.414782248117615,0.466035451121537,"pearson","Moldoveanu et al"
"52",0.231936804996066,0.334233510080113,0.413133279657065,0.443372086559176,"pearson","Moldoveanu et al"
"53",0.285287283394274,0.348770745733937,0.462998797684719,0.483542245417891,"pearson","Moldoveanu et al"
"54",0.236255137224955,0.345335763941794,0.416461974548875,0.470643686931673,"pearson","Moldoveanu et al"
"55",0.273730532719585,0.356444173720089,0.452491742696981,0.489504416564492,"pearson","Moldoveanu et al"
"56",0.383077351740952,0.471632815855587,0.545770413672961,0.59340504941807,"euclidean","Moldoveanu et al"
