"ARI","NMI","FM-Index","FMeasure","Metric","Dataset"
0.0895886038984396,0.0608521878069668,0.458055945243229,0.488567349192137,"euclidean","Hoch et al"
0.113010770998823,0.069663700522874,0.440522174252564,0.45517684492652,"euclidean","Hoch et al"
0.450568247348388,0.438364104349983,0.619753452572306,0.65954157267351,"pearson","Moldoveanu et al"
0.387014403506112,0.380827906479668,0.564547348519477,0.579724051318844,"pearson","Moldoveanu et al"
0.406454107832306,0.371223662075786,0.57773454473988,0.591714635873711,"pearson","Moldoveanu et al"
0.529897611592158,0.447012683967415,0.686046962459513,0.689896187475928,"pearson","Moldoveanu et al"
0.559130380195621,0.497327320673851,0.717684196038799,0.745542747167092,"pearson","Moldoveanu et al"
0.183299499629834,0.229887049561761,0.615027145588778,0.677457732802889,"euclidean","Moldoveanu et al"
0.221344716858136,0.291252652202209,0.628443047786098,0.700709816373594,"euclidean","Moldoveanu et al"
0.225835957415046,0.280957222546542,0.62649845557998,0.6996844334738,"euclidean","Moldoveanu et al"
0.242151623701144,0.29004082593746,0.625067942281266,0.684382789982368,"euclidean","Moldoveanu et al"
0.220006570025723,0.285642735199221,0.626367669745415,0.700240491705076,"euclidean","Moldoveanu et al"
0.475298007232578,0.402250937172331,0.668443478320033,0.648409298447769,"pearson","Keren et al"
0.342920714822778,0.343957626139506,0.559977899495914,0.527570972438741,"pearson","Keren et al"
0.453867545929857,0.385720019518641,0.652851209081818,0.626859234190023,"pearson","Keren et al"
0.441786712815784,0.384070084170484,0.641882716926022,0.604720112145849,"pearson","Keren et al"
0.395964902986758,0.345700970373191,0.606001874566354,0.562548794880734,"pearson","Keren et al"
-0.0121792937035445,0.0413182425723315,0.616712865009192,0.624616542042983,"euclidean","Keren et al"
0.00313303063371367,0.0352902909582503,0.629872509428103,0.654839170979174,"euclidean","Keren et al"
0.00603733632514991,0.0413585743662576,0.628305981197124,0.656707629608875,"euclidean","Keren et al"
-0.0131716021270957,0.0553523142658423,0.604474993816251,0.613605466446,"euclidean","Keren et al"
-0.00474641302021173,0.0266125056858727,0.628792934616458,0.644929482193715,"euclidean","Keren et al"
0.624601015111739,0.575349710646911,0.704456081250095,0.791881858582132,"pearson","Liu et al"
0.538961030350151,0.517327940412032,0.639189752935332,0.755601919335792,"pearson","Liu et al"
0.572459252036089,0.533388669153795,0.663781678438354,0.74596835915856,"pearson","Liu et al"
0.641353458373358,0.561579072410272,0.720030752834258,0.798834376037092,"pearson","Liu et al"
0.528781268386708,0.4909499653782,0.645877845615759,0.76693642972189,"pearson","Liu et al"
0.032416178191991,0.10665218785665,0.433067729158413,0.510649782450347,"euclidean","Liu et al"
0.0242149400592546,0.0838439093338271,0.435104335036901,0.503235270347735,"euclidean","Liu et al"
0.0204669510066376,0.0848003110891889,0.427271725917909,0.502147494429864,"euclidean","Liu et al"
0.022015021538012,0.0782623045049557,0.436404002372243,0.502864366831166,"euclidean","Liu et al"
0.0264632065056319,0.0962840996890037,0.433574186142198,0.508466552785871,"euclidean","Liu et al"
0.304602840578106,0.374555885072516,0.386498469548289,0.500630779942257,"pearson","Mccaferry et al"
0.259404033952071,0.366022414204048,0.337814223132932,0.454089922924302,"pearson","Mccaferry et al"
0.294232578453196,0.384657452615965,0.373672917216028,0.475023680248331,"pearson","Mccaferry et al"
0.27523759253532,0.366137701934544,0.355828563814981,0.481177501571865,"pearson","Mccaferry et al"
0.268478940423783,0.364010977952645,0.360153833505216,0.507368515887183,"pearson","Mccaferry et al"
0.188479181869389,0.34025002479946,0.271864809677835,0.399799987496939,"euclidean","Mccaferry et al"
0.204184157305737,0.364849023937722,0.290326880036993,0.438881494253374,"euclidean","Mccaferry et al"
0.240195549070807,0.361162239163935,0.314884572223056,0.416539817997927,"euclidean","Mccaferry et al"
0.228398498700386,0.384097983172709,0.31060556304664,0.452654374369652,"euclidean","Mccaferry et al"
0.205516529679578,0.367495673973113,0.293383013224218,0.441791601933546,"euclidean","Mccaferry et al"
0.332644088869665,0.447352700718979,0.395122571603629,0.451668068112721,"pearson","Schurch et al"
0.36396463925016,0.451989696155778,0.422581324972713,0.483343877613418,"pearson","Schurch et al"
0.384549899108496,0.448615236651965,0.442151011824272,0.480145533879258,"pearson","Schurch et al"
0.350631168264594,0.44673796394112,0.411346730232468,0.467251247711153,"pearson","Schurch et al"
0.290718408061473,0.443182946884873,0.354085813403014,0.439514769302696,"pearson","Schurch et al"
0.0123209193146152,0.245007020217366,0.22107119346746,0.29092187596812,"euclidean","Schurch et al"
0.0311654644746583,0.247437836322563,0.253948693926438,0.347905128706263,"euclidean","Schurch et al"
0.0692445957315856,0.304754914598727,0.263560377719814,0.399331036022701,"euclidean","Schurch et al"
0.0148975287141829,0.225107885417247,0.244736362876885,0.318901670778217,"euclidean","Schurch et al"
0.00536603300317254,0.203976745842291,0.240381173246805,0.298205380942988,"euclidean","Schurch et al"
0.24654701905734,0.414950866169356,0.359944773971628,0.453324702088843,"pearson","Phillips et al"
0.254511642793493,0.40575677968184,0.360753959210267,0.432591297267029,"pearson","Phillips et al"
0.230282241300691,0.403680965958772,0.340421321571769,0.430231826790771,"pearson","Phillips et al"
0.233988142836797,0.389154960944351,0.341862391214012,0.403210706093533,"pearson","Phillips et al"
0.253890603802229,0.415245751438062,0.362299058748868,0.439517967265642,"pearson","Phillips et al"
