"ARI","NMI","FM-Index","FMeasure","Method","RE","Dataset"
0.410283249601707,0.434227508455355,0.551589993458909,0.663234298462547,"Discrimant",0.25,"Maldegem et al"
0.325706232203175,0.37198319251676,0.555167769734992,0.641522925988715,"Gap",0.3125,"Maldegem et al"
0.465951220322592,0.474486246520856,0.576143772842814,0.643710536428793,"Slope",-0.0625,"Maldegem et al"
0.316668512703014,0.419177033302739,0.43838049071297,0.513043764735571,"Jump",-0.25,"Maldegem et al"
0.118748271642986,0.195717727562812,0.504191054631988,0.60460155923718,"WCD",0.5,"Maldegem et al"
0.118748271642986,0.195717727562812,0.504191054631988,0.60460155923718,"Silhouette",0.5,"Maldegem et al"
0.558182899819792,0.540670215439675,0.610412370622799,0.659431277391678,"Discrimant",0.117647058823529,"Rendeiro et al"
0.141087294893494,0.14532254609985,0.388006167051088,0.417105126421161,"Gap",0.882352941176471,"Rendeiro et al"
0.539586927284566,0.510944554143834,0.597866893565277,0.667533776745319,"Slope",0.294117647058824,"Rendeiro et al"
0.558182899819792,0.540670215439675,0.610412370622799,0.659431277391678,"Jump",0.117647058823529,"Rendeiro et al"
0.141087294893494,0.14532254609985,0.388006167051088,0.417105126421161,"WCD",0.882352941176471,"Rendeiro et al"
0.558182899819792,0.540670215439675,0.610412370622799,0.659431277391678,"Silhouette",0.117647058823529,"Rendeiro et al"
0.546939533510007,0.458146644405037,0.706756981885515,0.675237883048271,"Discrimant",-0.666666666666667,"Risom et al"
0.561473122102478,0.361095363296489,0.76358202608118,0.77486928351717,"Gap",0.5,"Risom et al"
0.560432654031379,0.35834703236719,0.764090599500179,0.782022581605264,"Slope",0.666666666666667,"Risom et al"
0.652265223732716,0.509575330170651,0.790535904580086,0.750213540736311,"Jump",-0.5,"Risom et al"
0.561473122102478,0.361095363296489,0.76358202608118,0.77486928351717,"WCD",0.5,"Risom et al"
0.561473122102478,0.361095363296489,0.76358202608118,0.77486928351717,"Silhouette",0.5,"Risom et al"
0.448938276706174,0.402294885037581,0.603309382146519,0.568394660039614,"Discrimant",-1,"Damond et al"
0.318872319318816,0.30748104516043,0.66430890562728,0.728560593126008,"Gap",0.0625,"Damond et al"
0.319763719602722,0.307325060058908,0.666038937964339,0.730880138333671,"Slope",0.125,"Damond et al"
0.390913485944729,0.442850059555849,0.582490517320171,0.6492099889178,"Jump",-0.25,"Damond et al"
0.000907763114182395,0.00190354961202341,0.569401042256713,0.677142629094577,"WCD",0.8125,"Damond et al"
0.319763719602722,0.307325060058908,0.666038937964339,0.730880138333671,"Silhouette",0.125,"Damond et al"
0.210881666032669,0.235179874625493,0.625541195675395,0.686519393518799,"Discrimant",0.7,"Moldoveanu et al"
0.214532951597807,0.270618468757962,0.626718675204726,0.703556595121258,"Gap",0.5,"Moldoveanu et al"
0.431428967819533,0.40874578529456,0.595331333124665,0.590127202984717,"Slope",-0.1,"Moldoveanu et al"
0.431428967819533,0.40874578529456,0.595331333124665,0.590127202984717,"Jump",-0.1,"Moldoveanu et al"
0.214532951597807,0.270618468757962,0.626718675204726,0.703556595121258,"WCD",0.5,"Moldoveanu et al"
0.431428967819533,0.40874578529456,0.595331333124665,0.590127202984717,"Silhouette",-0.1,"Moldoveanu et al"
0.238966156290804,0.156097169464745,0.481682705365104,0.393948255030376,"Discrimant",-1.3,"Hoch et al"
-0.0235139722522218,0.00879606329299631,0.633614932207149,0.749329719380804,"Gap",0.5,"Hoch et al"
0.33139615046369,0.212560864069018,0.596395580181627,0.558147659592033,"Slope",-0.3,"Hoch et al"
0.33190084826245,0.210240131527663,0.596449215494354,0.55474314327424,"Jump",-0.4,"Hoch et al"
-0.0235139722522218,0.00879606329299631,0.633614932207149,0.749329719380804,"WCD",0.5,"Hoch et al"
0.33190084826245,0.210240131527663,0.596449215494354,0.55474314327424,"Silhouette",-0.4,"Hoch et al"
0.00980218765750237,0.023083124289507,0.457315164975951,0.507933460135425,"Discrimant",0.75,"Liu et al"
0.00980218765750237,0.023083124289507,0.457315164975951,0.507933460135425,"Gap",0.75,"Liu et al"
0.519597203307554,0.46561966441959,0.630722167970378,0.728518334714011,"Slope",0.25,"Liu et al"
0.494198745558379,0.476950815543928,0.592080947104018,0.650004148842982,"Jump",-0.5,"Liu et al"
0.00980218765750237,0.023083124289507,0.457315164975951,0.507933460135425,"WCD",0.75,"Liu et al"
0.539597640990583,0.491529945961061,0.64230143641858,0.743714512184002,"Silhouette",0.125,"Liu et al"
0.565965075639606,0.446830273654822,0.734219293559632,0.705205974208519,"Discrimant",0,"Keren et al"
0.708635309707002,0.551843766752314,0.829504030062106,0.824687002924566,"Gap",0.166666666666667,"Keren et al"
0.708635309707002,0.551843766752314,0.829504030062106,0.824687002924566,"Slope",0.166666666666667,"Keren et al"
0.348963988842606,0.342903394163267,0.564476520366941,0.5003227632747,"Jump",-0.666666666666667,"Keren et al"
0.708635309707002,0.551843766752314,0.829504030062106,0.824687002924566,"WCD",0.166666666666667,"Keren et al"
0.565965075639606,0.446830273654822,0.734219293559632,0.705205974208519,"Silhouette",0,"Keren et al"
0.267255390897373,0.379839083777866,0.36233720593309,0.502870478789467,"Discrimant",-0.125,"McCaffrey et al"
0.0837045306588487,0.205043409629572,0.359479576457777,0.433197644822783,"Gap",0.5625,"McCaffrey et al"
0.267255390897373,0.379839083777866,0.36233720593309,0.502870478789467,"Slope",-0.125,"McCaffrey et al"
0.257943674251145,0.403733848740255,0.336905654732589,0.47006291998603,"Jump",-0.25,"McCaffrey et al"
