"ARI","NMI","FM-Index","FMeasure","Metric","Dataset"
0.274181393168228,0.326647212826098,0.500249241048004,0.625459064108211,"pearson","Maldegem et al"
0.0549600580178564,0.0721343027919471,0.467999983298155,0.556796200015773,"spearman","Maldegem et al"
0.30844252290225,0.323225872630674,0.567896432688346,0.675998913768815,"cosine","Maldegem et al"
0.333010891283978,0.351772927778899,0.559280898378552,0.648811163315057,"pearson","Maldegem et al"
0.248085887554375,0.188829894363227,0.540267714417265,0.632480212075913,"spearman","Maldegem et al"
0.249746530832973,0.29224746571406,0.515729349636264,0.627835743059881,"cosine","Maldegem et al"
0.270430473794364,0.307284263907552,0.531134845005287,0.63766493213787,"pearson","Maldegem et al"
0.0418863427141735,0.0742426601700037,0.459440885411161,0.543456900387354,"spearman","Maldegem et al"
0.250517280392239,0.281611814871252,0.533167880979364,0.635296938633973,"cosine","Maldegem et al"
0.299357360108188,0.337553046738373,0.549370613107019,0.647124905470383,"pearson","Maldegem et al"
0.246335915123646,0.18903534591856,0.534498509666698,0.621514076927356,"spearman","Maldegem et al"
0.328559720634781,0.353602439702043,0.575064534772569,0.677451853885569,"cosine","Maldegem et al"
0.232307439248881,0.287778807778122,0.535100584245897,0.642463239395821,"pearson","Maldegem et al"
0.0490261496624432,0.0710009369987117,0.470849954639965,0.554475934670232,"spearman","Maldegem et al"
0.227320524088921,0.279940312428596,0.532372900201472,0.638969639303996,"cosine","Maldegem et al"
0.00604717309608129,0.0120945374606387,0.462573352613613,0.546145053738516,"euclidean","Maldegem et al"
0.00484610337101937,0.0101459004328144,0.462172417632524,0.54640687545981,"manhattan","Maldegem et al"
0.00888990368256443,0.0183123631251853,0.463402456859724,0.546695082343966,"maximum","Maldegem et al"
0.00412201992709961,0.00862520537011908,0.464362294933631,0.55010776514362,"euclidean","Maldegem et al"
0.0109359813924506,0.019481717688671,0.467110118315254,0.551245583847778,"manhattan","Maldegem et al"
0.0151471749400953,0.0315853668799652,0.468508026815627,0.552562571670663,"maximum","Maldegem et al"
0.00345680119106856,0.00764792173292117,0.464122568061642,0.548400786508972,"euclidean","Maldegem et al"
0.00371828780648387,0.0073698800889854,0.464344128869831,0.548617414104343,"manhattan","Maldegem et al"
0.00918325846060933,0.0200448353223937,0.466294205965322,0.549405883477664,"maximum","Maldegem et al"
0.0070811954287257,0.0149921920149248,0.460794112504345,0.542164931441412,"euclidean","Maldegem et al"
0.00202608135209114,0.00419250152125872,0.458906126508957,0.540971204913201,"manhattan","Maldegem et al"
0.0118131409016038,0.0259940824945778,0.463124535631731,0.544938257001275,"maximum","Maldegem et al"
0.00437456815108312,0.00908998108031527,0.463288464944609,0.543516503788071,"euclidean","Maldegem et al"
0.00656758245193235,0.0126351259396484,0.46427129955188,0.544090485515868,"manhattan","Maldegem et al"
0.00923290328837966,0.0197120522915285,0.465300689476826,0.54520309203054,"maximum","Maldegem et al"
0.529618190505559,0.532807177837707,0.583725461473651,0.659422759892085,"pearson","Rendeiro et al"
0.338958945138585,0.316744465595487,0.430084386762145,0.544004819990075,"spearman","Rendeiro et al"
0.468087702074227,0.49872004045439,0.533498373827074,0.63347758601467,"cosine","Rendeiro et al"
0.533893639204031,0.52353190440026,0.593820937784592,0.692568560546897,"pearson","Rendeiro et al"
0.338860156289109,0.299801127764982,0.441859455535456,0.56027320684446,"spearman","Rendeiro et al"
0.476968773229527,0.496646354679683,0.542419848329736,0.635432033438555,"cosine","Rendeiro et al"
0.497762771358981,0.504903284203674,0.557604896872094,0.637630012481895,"pearson","Rendeiro et al"
0.390853472458652,0.336956397519579,0.47001769926978,0.573519451495422,"spearman","Rendeiro et al"
0.46493487562771,0.483908391701738,0.53364473831416,0.617851808297445,"cosine","Rendeiro et al"
0.489163621191906,0.495219315000452,0.552993455204287,0.658744045757642,"pearson","Rendeiro et al"
0.346704162485729,0.295702539752898,0.438673968387793,0.556907835768718,"spearman","Rendeiro et al"
0.479908730277869,0.498587308511406,0.541059586905217,0.635775773594929,"cosine","Rendeiro et al"
0.506056916481642,0.500589664065175,0.567558760145844,0.665101654875938,"pearson","Rendeiro et al"
0.321718136218394,0.275203850105372,0.429569508939669,0.554825135257671,"spearman","Rendeiro et al"
0.435639191627419,0.467064005352737,0.511063058923588,0.618819561639687,"cosine","Rendeiro et al"
-0.000319203698557707,0.00222214631811482,0.337264892747016,0.286366286267482,"euclidean","Rendeiro et al"
-0.000135728119227917,0.00137121987738146,0.337842143920545,0.286021963081423,"manhattan","Rendeiro et al"
-7.41511897227214e-05,0.000829401669510234,0.338227216098287,0.286482093741249,"maximum","Rendeiro et al"
-1.58261397846434e-06,0.000986192932704736,0.338191476019284,0.279888627299808,"euclidean","Rendeiro et al"
-4.94917805543232e-05,0.00118955368337285,0.337976569323274,0.279614505478487,"manhattan","Rendeiro et al"
4.75332578520688e-07,0.000808953559762091,0.338295732045724,0.280157206338347,"maximum","Rendeiro et al"
-0.00124498136186343,0.0108144611818285,0.331630280735073,0.290810397844437,"euclidean","Rendeiro et al"
-0.000104695389350634,0.00098381559002742,0.338026735318479,0.289974756196741,"manhattan","Rendeiro et al"
-7.66026395576316e-05,0.000755509241451064,0.338164977109843,0.290413721605094,"maximum","Rendeiro et al"
-0.000335750431236028,0.00175100546307334,0.336215247193244,0.285278074114621,"euclidean","Rendeiro et al"
-0.000255231452962918,0.00228383633439744,0.33653917020818,0.285542472522242,"manhattan","Rendeiro et al"
-3.41897255483747e-05,0.000794008891897531,0.337739957733781,0.286033369559947,"maximum","Rendeiro et al"
